溯源批次码,作物名称,生产省份,生产县区,基地经度,基地纬度,种植日期,全流程农事操作记录,采摘完成时刻,采摘重量(kg),加工中心,加工厂经纬度,加工具体工序,加工开始时刻,加工结束时刻,存储仓库ID,仓库类型,入库时刻,出库时刻,仓储温湿度环境,物流运单号,运输车辆类型,物流作业要求,发货起运时刻,终端签收时刻,销售城市,销售区县网点,网点经度,网点纬度,终端上架时刻
CN-AG-202409-11521,水稻,湖南省,南县,112.394932,29.329216,2024-04-16,2024-04-16 [播种育秧] -> 2024-05-09 [田间底肥] -> 2024-06-01 [插秧作业] -> 2024-06-24 [分蘖期灌溉] -> 2024-07-17 [除草控虫] -> 2024-08-09 [晒田补肥],2024-09-02 09:58,8435.71,南县第5深加工基地,"112.39412,29.36519",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-09-06 11:58,2024-09-06 21:42,WH-CN-312,平房仓(准低温),2024-09-07 01:42,2024-09-30 01:42,准低温低氧控制,LOG-CN-44524084865,散粮车,"防潮, 湿度<14%",2024-09-30 15:42,2024-10-04 11:14,广州市,白云区,113.27,23.15,2024-10-07 11:14
CN-AG-202406-11522,小麦,河北省,宁晋县,114.862538,37.645116,2023-10-26,2023-10-26 [深耕整地] -> 2023-12-03 [秋播种子处理] -> 2024-01-10 [越冬水灌溉] -> 2024-02-17 [拔节期追肥] -> 2024-03-26 [条锈病防治] -> 2024-05-03 [干热风防护],2024-06-08 16:33,6601.11,宁晋县第3深加工基地,"114.925517,37.618379",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-12 22:33,2024-06-13 05:05,WH-CN-742,钢板筒仓,2024-06-13 17:05,2024-07-15 17:05,准低温低氧控制,LOG-CN-64078843948,全封闭货车,"干燥, 禁止异味混载",2024-07-16 04:05,2024-07-19 10:04,上海市,宝山区,121.48,31.4,2024-07-22 10:04
CN-AG-202408-11523,花生,山东省,平度市,119.957648,36.760648,2024-04-12,2024-04-12 [清棵蹲苗] -> 2024-05-06 [培土迎葑] -> 2024-05-30 [钙镁肥补充] -> 2024-06-23 [下针期控旺] -> 2024-07-17 [地下虫害防治],2024-08-13 15:11,38027.39,平度市第3深加工基地,"119.95484,36.7741",剥壳分选->烘炒->压榨提取->物理精炼,2024-08-14 17:11,2024-08-14 23:46,WH-CN-558,避光库房,2024-08-15 05:46,2024-09-25 05:46,避光控温控制,LOG-CN-96562221688,厢式货车,避光防潮,2024-09-25 19:46,2024-09-27 10:29,广州市,天河区,113.33,23.13,2024-09-30 10:29
CN-AG-202409-11524,玉米,内蒙古自治区,阿荣旗,123.552305,48.066273,2024-05-30,2024-05-30 [免耕直播] -> 2024-06-21 [苗期中耕] -> 2024-07-13 [喇叭口期追肥] -> 2024-08-04 [大斑病防治] -> 2024-08-26 [人工授粉辅助],2024-09-12 14:18,31608.23,阿荣旗第5深加工基地,"123.517488,48.113964",物理清理->脱粒烘干->破碎加工->筛理分级,2024-09-16 20:18,2024-09-17 00:42,WH-CN-743,现代化圆筒仓,2024-09-17 04:42,2024-10-31 04:42,避光控温控制,LOG-CN-91555611971,重型散粮卡车,"通风良好, 严控高温",2024-10-31 16:42,2024-11-04 22:10,深圳市,福田区,114.05,22.54,2024-11-07 22:10
CN-AG-202410-11525,玉米,山东省,汶上县,116.506722,35.712304,2024-06-21,2024-06-21 [免耕直播] -> 2024-07-13 [苗期中耕] -> 2024-08-04 [喇叭口期追肥] -> 2024-08-26 [大斑病防治] -> 2024-09-17 [人工授粉辅助],2024-10-12 12:38,18262.14,汶上县第5深加工基地,"116.488118,35.726385",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-14 17:38,2024-10-15 00:04,WH-CN-840,现代化圆筒仓,2024-10-15 05:04,2024-11-10 05:04,避光控温控制,LOG-CN-71924221344,重型散粮卡车,"通风良好, 严控高温",2024-11-10 15:04,2024-11-14 15:06,南京市,江宁区,118.83,31.95,2024-11-16 15:06
CN-AG-202410-11526,玉米,山东省,汶上县,116.441422,35.685196,2024-07-11,2024-07-11 [免耕直播] -> 2024-08-02 [苗期中耕] -> 2024-08-24 [喇叭口期追肥] -> 2024-09-15 [大斑病防治] -> 2024-10-07 [人工授粉辅助],2024-10-25 15:57,12252.99,汶上县第3深加工基地,"116.471639,35.729861",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-26 20:57,2024-10-27 02:02,WH-CN-354,现代化圆筒仓,2024-10-27 11:02,2024-12-03 11:02,避光控温控制,LOG-CN-79103467549,重型散粮卡车,"通风良好, 严控高温",2024-12-04 02:02,2024-12-09 07:25,北京市,海淀区,116.3,39.96,2024-12-11 07:25
CN-AG-202409-11527,水稻,吉林省,榆树市,126.603252,44.783518,2024-05-07,2024-05-07 [播种育秧] -> 2024-05-30 [田间底肥] -> 2024-06-22 [插秧作业] -> 2024-07-15 [分蘖期灌溉] -> 2024-08-07 [除草控虫] -> 2024-08-30 [晒田补肥],2024-09-19 10:01,21688.62,榆树市第2深加工基地,"126.547525,44.82953",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-09-21 14:01,2024-09-21 21:01,WH-CN-118,平房仓(准低温),2024-09-22 06:01,2024-10-29 06:01,准低温低氧控制,LOG-CN-38677526180,散粮车,"防潮, 湿度<14%",2024-10-29 15:01,2024-11-03 17:31,武汉市,洪山区,114.34,30.5,2024-11-06 17:31
CN-AG-202409-11528,大豆,辽宁省,昌图县,124.115379,42.830794,2024-05-25,2024-05-25 [拌种包衣] -> 2024-06-19 [等距点播] -> 2024-07-14 [结荚期根外追肥] -> 2024-08-08 [食心虫绿色防控] -> 2024-09-02 [除草中耕],2024-09-23 16:30,10025.21,昌图县第1深加工基地,"124.114048,42.775395",磁选->破碎压胚->高温压榨->物理过滤->精炼,2024-09-25 21:30,2024-09-26 00:55,WH-CN-241,不锈钢储油罐区,2024-09-26 09:55,2024-10-24 09:55,准低温低氧控制,LOG-CN-61341765678,罐式车,"避光, 控温25℃下",2024-10-24 17:55,2024-10-25 19:49,西安市,长安区,108.87,34.15,2024-10-26 19:49
CN-AG-202410-11529,玉米,河南省,滑县,114.578695,35.589068,2024-06-14,2024-06-14 [免耕直播] -> 2024-07-06 [苗期中耕] -> 2024-07-28 [喇叭口期追肥] -> 2024-08-19 [大斑病防治] -> 2024-09-10 [人工授粉辅助],2024-10-01 08:21,13291.55,滑县第5深加工基地,"114.523441,35.565301",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-02 14:21,2024-10-02 23:12,WH-CN-589,现代化圆筒仓,2024-10-03 03:12,2024-11-18 03:12,避光控温控制,LOG-CN-49234975584,重型散粮卡车,"通风良好, 严控高温",2024-11-18 16:12,2024-11-21 19:52,深圳市,宝安区,113.88,22.55,2024-11-23 19:52
CN-AG-202406-11530,小麦,河北省,藁城区,114.793638,37.976243,2023-10-22,2023-10-22 [深耕整地] -> 2023-11-29 [秋播种子处理] -> 2024-01-06 [越冬水灌溉] -> 2024-02-13 [拔节期追肥] -> 2024-03-22 [条锈病防治] -> 2024-04-29 [干热风防护],2024-06-07 08:12,10508.6,藁城区第3深加工基地,"114.849989,38.020078",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-09 14:12,2024-06-09 18:34,WH-CN-733,钢板筒仓,2024-06-09 22:34,2024-06-20 22:34,准低温低氧控制,LOG-CN-44088461407,全封闭货车,"干燥, 禁止异味混载",2024-06-21 05:34,2024-06-23 18:48,北京市,丰台区,116.28,39.85,2024-06-25 18:48
CN-AG-202409-11531,大豆,黑龙江省,富锦市,132.064407,47.286273,2024-04-28,2024-04-28 [拌种包衣] -> 2024-05-23 [等距点播] -> 2024-06-17 [结荚期根外追肥] -> 2024-07-12 [食心虫绿色防控] -> 2024-08-06 [除草中耕],2024-09-04 15:36,17572.92,富锦市第5深加工基地,"132.026001,47.250195",磁选->破碎压胚->高温压榨->物理过滤->精炼,2024-09-08 19:36,2024-09-09 00:24,WH-CN-720,不锈钢储油罐区,2024-09-09 10:24,2024-10-13 10:24,准低温低氧控制,LOG-CN-64968912415,罐式车,"避光, 控温25℃下",2024-10-14 01:24,2024-10-17 17:08,广州市,番禺区,113.38,22.93,2024-10-18 17:08
CN-AG-202411-11532,棉花,新疆维吾尔自治区,玛纳斯县,86.184161,44.258152,2024-05-09,2024-05-09 [覆膜播种] -> 2024-06-14 [人工打顶] -> 2024-07-20 [叶面喷施补硼] -> 2024-08-25 [枯萎病监测] -> 2024-09-30 [喷施脱叶剂],2024-11-05 15:49,6363.35,玛纳斯县第4深加工基地,"86.215126,44.297519",皮棉清理->锯齿轧花->纤维分级->压力打包,2024-11-09 17:49,2024-11-09 20:21,WH-CN-861,专业纤维库,2024-11-10 02:21,2024-11-28 02:21,避光控温控制,LOG-CN-72140006751,高栏平板车,"严禁烟火, 防静电, 干燥",2024-11-28 10:21,2024-11-30 15:18,深圳市,福田区,114.05,22.54,2024-12-02 15:18
CN-AG-202410-11533,玉米,辽宁省,昌图县,124.059298,42.784759,2024-06-11,2024-06-11 [免耕直播] -> 2024-07-03 [苗期中耕] -> 2024-07-25 [喇叭口期追肥] -> 2024-08-16 [大斑病防治] -> 2024-09-07 [人工授粉辅助],2024-10-03 13:33,19089.14,昌图县第1深加工基地,"124.102047,42.770361",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-04 17:33,2024-10-04 20:55,WH-CN-826,现代化圆筒仓,2024-10-05 08:55,2024-11-24 08:55,避光控温控制,LOG-CN-36541578586,重型散粮卡车,"通风良好, 严控高温",2024-11-24 14:55,2024-11-27 09:59,广州市,番禺区,113.38,22.93,2024-11-29 09:59
CN-AG-202410-11534,水稻,湖南省,南县,112.451983,29.34926,2024-05-31,2024-05-31 [播种育秧] -> 2024-06-23 [田间底肥] -> 2024-07-16 [插秧作业] -> 2024-08-08 [分蘖期灌溉] -> 2024-08-31 [除草控虫] -> 2024-09-23 [晒田补肥],2024-10-17 16:18,18681.78,南县第3深加工基地,"112.406037,29.362748",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-21 22:18,2024-10-22 01:05,WH-CN-949,平房仓(准低温),2024-10-22 13:05,2024-11-25 13:05,准低温低氧控制,LOG-CN-52338831537,散粮车,"防潮, 湿度<14%",2024-11-25 20:05,2024-11-28 13:13,深圳市,南山区,113.93,22.54,2024-11-30 13:13
CN-AG-202406-11535,小麦,河南省,正阳县,114.3634,32.595965,2023-10-16,2023-10-16 [深耕整地] -> 2023-11-23 [秋播种子处理] -> 2023-12-31 [越冬水灌溉] -> 2024-02-07 [拔节期追肥] -> 2024-03-16 [条锈病防治] -> 2024-04-23 [干热风防护],2024-06-01 10:10,13214.69,正阳县第1深加工基地,"114.387519,32.592168",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-03 14:10,2024-06-03 21:14,WH-CN-407,钢板筒仓,2024-06-04 09:14,2024-07-09 09:14,准低温低氧控制,LOG-CN-15871182837,全封闭货车,"干燥, 禁止异味混载",2024-07-09 16:14,2024-07-12 00:09,深圳市,宝安区,113.88,22.55,2024-07-14 00:09
CN-AG-202409-11536,玉米,内蒙古自治区,突泉县,121.530174,46.363979,2024-06-03,2024-06-03 [免耕直播] -> 2024-06-25 [苗期中耕] -> 2024-07-17 [喇叭口期追肥] -> 2024-08-08 [大斑病防治] -> 2024-08-30 [人工授粉辅助],2024-09-18 08:44,5224.04,突泉县第1深加工基地,"121.569747,46.330245",物理清理->脱粒烘干->破碎加工->筛理分级,2024-09-22 13:44,2024-09-22 21:37,WH-CN-125,现代化圆筒仓,2024-09-23 02:37,2024-10-19 02:37,避光控温控制,LOG-CN-71262100479,重型散粮卡车,"通风良好, 严控高温",2024-10-19 11:37,2024-10-24 01:13,上海市,宝山区,121.48,31.4,2024-10-26 01:13
CN-AG-202409-11537,水稻,吉林省,前郭县,124.863542,45.125011,2024-05-06,2024-05-06 [播种育秧] -> 2024-05-29 [田间底肥] -> 2024-06-21 [插秧作业] -> 2024-07-14 [分蘖期灌溉] -> 2024-08-06 [除草控虫] -> 2024-08-29 [晒田补肥],2024-09-27 17:51,28417.82,前郭县第2深加工基地,"124.810804,45.111595",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-09-29 21:51,2024-09-30 07:34,WH-CN-396,平房仓(准低温),2024-09-30 17:34,2024-11-17 17:34,准低温低氧控制,LOG-CN-40259189142,散粮车,"防潮, 湿度<14%",2024-11-18 06:34,2024-11-21 11:09,广州市,白云区,113.27,23.15,2024-11-24 11:09
CN-AG-202405-11538,油菜籽,甘肃省,民乐县,100.757549,38.376039,2023-10-10,2023-10-10 [育苗移栽] -> 2023-12-01 [越冬防冻肥] -> 2024-01-22 [薹期水肥调节] -> 2024-03-14 [菌核病无人机防治],2024-05-03 11:48,29409.27,民乐县第2深加工基地,"100.800649,38.423747",多级筛选->炒籽->螺旋压榨->精制过滤,2024-05-04 13:48,2024-05-04 23:37,WH-CN-260,恒温罐区,2024-05-05 11:37,2024-06-24 11:37,避光控温控制,LOG-CN-97251671559,罐式车,"避光, 防氧化",2024-06-24 17:37,2024-06-27 13:35,上海市,闵行区,121.38,31.11,2024-06-28 13:35
CN-AG-202409-11539,水稻,辽宁省,盘山县,122.0668,41.269202,2024-04-28,2024-04-28 [播种育秧] -> 2024-05-21 [田间底肥] -> 2024-06-13 [插秧作业] -> 2024-07-06 [分蘖期灌溉] -> 2024-07-29 [除草控虫] -> 2024-08-21 [晒田补肥],2024-09-10 12:28,21057.0,盘山县第2深加工基地,"122.046722,41.232721",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-09-13 17:28,2024-09-13 19:58,WH-CN-170,平房仓(准低温),2024-09-14 03:58,2024-09-27 03:58,准低温低氧控制,LOG-CN-35863352250,散粮车,"防潮, 湿度<14%",2024-09-27 10:58,2024-09-30 00:40,南京市,江宁区,118.83,31.95,2024-10-03 00:40
CN-AG-202409-11540,大豆,辽宁省,昌图县,124.086141,42.738574,2024-05-23,2024-05-23 [拌种包衣] -> 2024-06-17 [等距点播] -> 2024-07-12 [结荚期根外追肥] -> 2024-08-06 [食心虫绿色防控] -> 2024-08-31 [除草中耕],2024-09-25 14:17,20924.79,昌图县第3深加工基地,"124.107446,42.77498",磁选->破碎压胚->高温压榨->物理过滤->精炼,2024-09-29 17:17,2024-09-30 02:18,WH-CN-127,不锈钢储油罐区,2024-09-30 08:18,2024-11-08 08:18,准低温低氧控制,LOG-CN-36725365785,罐式车,"避光, 控温25℃下",2024-11-08 21:18,2024-11-13 01:35,武汉市,东西湖区,114.13,30.62,2024-11-14 01:35
CN-AG-202409-11541,花生,江苏省,东海县,118.768674,34.51056,2024-05-20,2024-05-20 [清棵蹲苗] -> 2024-06-13 [培土迎葑] -> 2024-07-07 [钙镁肥补充] -> 2024-07-31 [下针期控旺] -> 2024-08-24 [地下虫害防治],2024-09-20 17:39,15112.57,东海县第2深加工基地,"118.779731,34.538148",剥壳分选->烘炒->压榨提取->物理精炼,2024-09-24 19:39,2024-09-25 03:18,WH-CN-935,避光库房,2024-09-25 10:18,2024-10-20 10:18,避光控温控制,LOG-CN-64245752966,厢式货车,避光防潮,2024-10-20 19:18,2024-10-23 22:05,上海市,宝山区,121.48,31.4,2024-10-26 22:05
CN-AG-202408-11542,花生,河南省,正阳县,114.337062,32.546711,2024-05-01,2024-05-01 [清棵蹲苗] -> 2024-05-25 [培土迎葑] -> 2024-06-18 [钙镁肥补充] -> 2024-07-12 [下针期控旺] -> 2024-08-05 [地下虫害防治],2024-08-27 14:01,37391.09,正阳县第4深加工基地,"114.382517,32.591057",剥壳分选->烘炒->压榨提取->物理精炼,2024-08-29 19:01,2024-08-30 03:59,WH-CN-347,避光库房,2024-08-30 14:59,2024-10-01 14:59,避光控温控制,LOG-CN-17887775693,厢式货车,避光防潮,2024-10-02 04:59,2024-10-03 10:21,深圳市,福田区,114.05,22.54,2024-10-05 10:21
CN-AG-202410-11543,水稻,吉林省,前郭县,124.850373,45.056541,2024-06-02,2024-06-02 [播种育秧] -> 2024-06-25 [田间底肥] -> 2024-07-18 [插秧作业] -> 2024-08-10 [分蘖期灌溉] -> 2024-09-02 [除草控虫] -> 2024-09-25 [晒田补肥],2024-10-21 13:18,20428.43,前郭县第5深加工基地,"124.81054,45.110239",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-22 16:18,2024-10-22 21:32,WH-CN-509,平房仓(准低温),2024-10-23 04:32,2024-11-27 04:32,准低温低氧控制,LOG-CN-93596724382,散粮车,"防潮, 湿度<14%",2024-11-27 14:32,2024-11-28 16:35,北京市,海淀区,116.3,39.96,2024-11-30 16:35
CN-AG-202406-11544,小麦,河南省,正阳县,114.340498,32.607391,2023-11-04,2023-11-04 [深耕整地] -> 2023-12-12 [秋播种子处理] -> 2024-01-19 [越冬水灌溉] -> 2024-02-26 [拔节期追肥] -> 2024-04-04 [条锈病防治] -> 2024-05-12 [干热风防护],2024-06-17 12:33,5137.51,正阳县第1深加工基地,"114.376376,32.593954",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-21 14:33,2024-06-21 22:35,WH-CN-555,钢板筒仓,2024-06-22 05:35,2024-07-27 05:35,准低温低氧控制,LOG-CN-43765411919,全封闭货车,"干燥, 禁止异味混载",2024-07-27 11:35,2024-07-30 22:26,上海市,浦东新区,121.54,31.22,2024-08-01 22:26
CN-AG-202410-11545,玉米,四川省,三台县,105.055214,31.10122,2024-07-03,2024-07-03 [免耕直播] -> 2024-07-25 [苗期中耕] -> 2024-08-16 [喇叭口期追肥] -> 2024-09-07 [大斑病防治] -> 2024-09-29 [人工授粉辅助],2024-10-19 12:38,31561.14,三台县第1深加工基地,"105.099402,31.082327",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-21 14:38,2024-10-21 20:55,WH-CN-137,现代化圆筒仓,2024-10-22 08:55,2024-11-07 08:55,避光控温控制,LOG-CN-92798516930,重型散粮卡车,"通风良好, 严控高温",2024-11-07 21:55,2024-11-09 11:31,上海市,浦东新区,121.54,31.22,2024-11-12 11:31
CN-AG-202409-11546,玉米,黑龙江省,富锦市,132.066324,47.192638,2024-05-26,2024-05-26 [免耕直播] -> 2024-06-17 [苗期中耕] -> 2024-07-09 [喇叭口期追肥] -> 2024-07-31 [大斑病防治] -> 2024-08-22 [人工授粉辅助],2024-09-09 12:18,23164.4,富锦市第5深加工基地,"132.025944,47.255761",物理清理->脱粒烘干->破碎加工->筛理分级,2024-09-12 16:18,2024-09-13 02:02,WH-CN-847,现代化圆筒仓,2024-09-13 12:02,2024-10-21 12:02,避光控温控制,LOG-CN-58715422437,重型散粮卡车,"通风良好, 严控高温",2024-10-21 21:02,2024-10-24 02:44,成都市,武侯区,104.04,30.64,2024-10-27 02:44
CN-AG-202410-11547,棉花,新疆维吾尔自治区,玛纳斯县,86.167475,44.256275,2024-04-21,2024-04-21 [覆膜播种] -> 2024-05-27 [人工打顶] -> 2024-07-02 [叶面喷施补硼] -> 2024-08-07 [枯萎病监测] -> 2024-09-12 [喷施脱叶剂],2024-10-16 08:52,26927.77,玛纳斯县第3深加工基地,"86.212856,44.303949",皮棉清理->锯齿轧花->纤维分级->压力打包,2024-10-18 12:52,2024-10-18 17:26,WH-CN-319,专业纤维库,2024-10-18 21:26,2024-10-31 21:26,避光控温控制,LOG-CN-64629153307,高栏平板车,"严禁烟火, 防静电, 干燥",2024-11-01 12:26,2024-11-05 14:37,成都市,新都区,104.15,30.82,2024-11-07 14:37
CN-AG-202410-11548,水稻,辽宁省,盘山县,122.092498,41.273929,2024-05-23,2024-05-23 [播种育秧] -> 2024-06-15 [田间底肥] -> 2024-07-08 [插秧作业] -> 2024-07-31 [分蘖期灌溉] -> 2024-08-23 [除草控虫] -> 2024-09-15 [晒田补肥],2024-10-08 09:29,33412.56,盘山县第3深加工基地,"122.033117,41.243839",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-11 14:29,2024-10-11 22:54,WH-CN-966,平房仓(准低温),2024-10-12 04:54,2024-11-08 04:54,准低温低氧控制,LOG-CN-63798984268,散粮车,"防潮, 湿度<14%",2024-11-08 12:54,2024-11-10 14:44,西安市,长安区,108.87,34.15,2024-11-13 14:44
CN-AG-202406-11549,小麦,山东省,平度市,119.991063,36.749213,2023-11-10,2023-11-10 [深耕整地] -> 2023-12-18 [秋播种子处理] -> 2024-01-25 [越冬水灌溉] -> 2024-03-03 [拔节期追肥] -> 2024-04-10 [条锈病防治] -> 2024-05-18 [干热风防护],2024-06-28 15:42,37109.38,平度市第4深加工基地,"119.94145,36.774186",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-07-02 17:42,2024-07-02 22:25,WH-CN-550,钢板筒仓,2024-07-03 03:25,2024-07-28 03:25,准低温低氧控制,LOG-CN-18320320564,全封闭货车,"干燥, 禁止异味混载",2024-07-28 12:25,2024-08-02 17:32,成都市,新都区,104.15,30.82,2024-08-04 17:32
CN-AG-202410-11550,水稻,江苏省,兴化市,119.838303,32.954394,2024-05-29,2024-05-29 [播种育秧] -> 2024-06-21 [田间底肥] -> 2024-07-14 [插秧作业] -> 2024-08-06 [分蘖期灌溉] -> 2024-08-29 [除草控虫] -> 2024-09-21 [晒田补肥],2024-10-12 16:41,5857.42,兴化市第5深加工基地,"119.853005,32.938401",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-16 19:41,2024-10-17 05:13,WH-CN-670,平房仓(准低温),2024-10-17 14:13,2024-11-25 14:13,准低温低氧控制,LOG-CN-38399850837,散粮车,"防潮, 湿度<14%",2024-11-25 21:13,2024-11-28 22:21,广州市,天河区,113.33,23.13,2024-11-30 22:21
CN-AG-202406-11551,小麦,山东省,汶上县,116.533743,35.68085,2023-10-20,2023-10-20 [深耕整地] -> 2023-11-27 [秋播种子处理] -> 2024-01-04 [越冬水灌溉] -> 2024-02-11 [拔节期追肥] -> 2024-03-20 [条锈病防治] -> 2024-04-27 [干热风防护],2024-06-10 14:13,25975.49,汶上县第2深加工基地,"116.476744,35.725171",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-14 16:13,2024-06-14 19:35,WH-CN-356,钢板筒仓,2024-06-15 03:35,2024-08-04 03:35,准低温低氧控制,LOG-CN-30020612082,全封闭货车,"干燥, 禁止异味混载",2024-08-04 16:35,2024-08-05 17:29,武汉市,江岸区,114.3,30.59,2024-08-06 17:29
CN-AG-202410-11552,水稻,安徽省,寿县,116.726147,32.558271,2024-05-26,2024-05-26 [播种育秧] -> 2024-06-18 [田间底肥] -> 2024-07-11 [插秧作业] -> 2024-08-03 [分蘖期灌溉] -> 2024-08-26 [除草控虫] -> 2024-09-18 [晒田补肥],2024-10-13 17:09,6676.87,寿县第1深加工基地,"116.772466,32.56993",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-16 20:09,2024-10-17 03:48,WH-CN-902,平房仓(准低温),2024-10-17 07:48,2024-11-17 07:48,准低温低氧控制,LOG-CN-26402551871,散粮车,"防潮, 湿度<14%",2024-11-17 15:48,2024-11-20 16:51,北京市,丰台区,116.28,39.85,2024-11-21 16:51
CN-AG-202409-11553,水稻,广西壮族自治区,宾阳县,108.792085,23.198116,2024-05-14,2024-05-14 [播种育秧] -> 2024-06-06 [田间底肥] -> 2024-06-29 [插秧作业] -> 2024-07-22 [分蘖期灌溉] -> 2024-08-14 [除草控虫] -> 2024-09-06 [晒田补肥],2024-09-27 13:27,9876.03,宾阳县第1深加工基地,"108.816063,23.215457",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-01 15:27,2024-10-02 01:10,WH-CN-975,平房仓(准低温),2024-10-02 12:10,2024-10-24 12:10,准低温低氧控制,LOG-CN-10992086250,散粮车,"防潮, 湿度<14%",2024-10-25 03:10,2024-10-29 11:42,成都市,龙泉驿区,104.27,30.55,2024-10-30 11:42
CN-AG-202409-11554,玉米,吉林省,榆树市,126.533986,44.77841,2024-05-29,2024-05-29 [免耕直播] -> 2024-06-20 [苗期中耕] -> 2024-07-12 [喇叭口期追肥] -> 2024-08-03 [大斑病防治] -> 2024-08-25 [人工授粉辅助],2024-09-17 12:42,28285.87,榆树市第5深加工基地,"126.543028,44.817467",物理清理->脱粒烘干->破碎加工->筛理分级,2024-09-18 18:42,2024-09-19 04:28,WH-CN-227,现代化圆筒仓,2024-09-19 14:28,2024-10-29 14:28,避光控温控制,LOG-CN-74334411412,重型散粮卡车,"通风良好, 严控高温",2024-10-29 23:28,2024-10-31 08:31,广州市,天河区,113.33,23.13,2024-11-02 08:31
CN-AG-202406-11555,小麦,四川省,安岳县,105.354867,30.135814,2023-11-10,2023-11-10 [深耕整地] -> 2023-12-18 [秋播种子处理] -> 2024-01-25 [越冬水灌溉] -> 2024-03-03 [拔节期追肥] -> 2024-04-10 [条锈病防治] -> 2024-05-18 [干热风防护],2024-06-28 13:20,23419.42,安岳县第4深加工基地,"105.327334,30.093808",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-29 19:20,2024-06-29 23:00,WH-CN-941,钢板筒仓,2024-06-30 05:00,2024-07-14 05:00,准低温低氧控制,LOG-CN-24119391405,全封闭货车,"干燥, 禁止异味混载",2024-07-14 11:00,2024-07-17 15:13,广州市,天河区,113.33,23.13,2024-07-18 15:13
CN-AG-202406-11556,小麦,安徽省,寿县,116.795385,32.522697,2023-11-09,2023-11-09 [深耕整地] -> 2023-12-17 [秋播种子处理] -> 2024-01-24 [越冬水灌溉] -> 2024-03-02 [拔节期追肥] -> 2024-04-09 [条锈病防治] -> 2024-05-17 [干热风防护],2024-06-21 11:53,16090.25,寿县第5深加工基地,"116.789719,32.562427",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-23 14:53,2024-06-23 20:54,WH-CN-705,钢板筒仓,2024-06-24 04:54,2024-07-11 04:54,准低温低氧控制,LOG-CN-66118547824,全封闭货车,"干燥, 禁止异味混载",2024-07-11 13:54,2024-07-14 20:26,南京市,南京浦口区,118.62,32.05,2024-07-15 20:26
CN-AG-202410-11557,水稻,江苏省,射阳县,120.236829,33.783682,2024-05-16,2024-05-16 [播种育秧] -> 2024-06-08 [田间底肥] -> 2024-07-01 [插秧作业] -> 2024-07-24 [分蘖期灌溉] -> 2024-08-16 [除草控虫] -> 2024-09-08 [晒田补肥],2024-10-01 11:09,33176.44,射阳县第4深加工基地,"120.258227,33.751571",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-02 17:09,2024-10-03 01:54,WH-CN-204,平房仓(准低温),2024-10-03 08:54,2024-10-24 08:54,准低温低氧控制,LOG-CN-62290388790,散粮车,"防潮, 湿度<14%",2024-10-24 22:54,2024-10-26 18:50,武汉市,洪山区,114.34,30.5,2024-10-29 18:50
CN-AG-202410-11558,水稻,湖南省,桃源县,111.44094,28.906492,2024-05-28,2024-05-28 [播种育秧] -> 2024-06-20 [田间底肥] -> 2024-07-13 [插秧作业] -> 2024-08-05 [分蘖期灌溉] -> 2024-08-28 [除草控虫] -> 2024-09-20 [晒田补肥],2024-10-19 12:38,14744.74,桃源县第2深加工基地,"111.486863,28.897574",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-22 15:38,2024-10-22 19:43,WH-CN-920,平房仓(准低温),2024-10-23 04:43,2024-11-13 04:43,准低温低氧控制,LOG-CN-68539518553,散粮车,"防潮, 湿度<14%",2024-11-13 14:43,2024-11-16 05:26,南京市,江宁区,118.83,31.95,2024-11-19 05:26
